sapling_id,species,drought_tolerance,preferred_zone
SAP-0001,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0002,Banaba,Low,Parks and Recreation Zone
SAP-0003,Banaba,Low,Medium Density Residential Zone
SAP-0004,Narra,Medium,Parks and Recreation Zone
SAP-0005,Banaba,High,Forest Zone
SAP-0006,Molave,Low,Buffer Zone
SAP-0007,Mahogany,High,Parks and Recreation Zone
SAP-0008,Ilang-Ilang,Medium,Forest Zone
SAP-0009,Molave,Low,Buffer Zone
SAP-0010,Narra,Low,Forest Zone
SAP-0011,Mahogany,High,Parks and Recreation Zone
SAP-0012,Mahogany,Low,Forest Zone
SAP-0013,Ilang-Ilang,High,Medium Density Residential Zone
SAP-0014,Molave,Low,Buffer Zone
SAP-0015,Banaba,Medium,Medium Density Residential Zone
SAP-0016,Ilang-Ilang,High,Forest Zone
SAP-0017,Narra,High,Parks and Recreation Zone
SAP-0018,Molave,Low,Medium Density Residential Zone
SAP-0019,Mahogany,Medium,Forest Zone
SAP-0020,Narra,Low,Parks and Recreation Zone
SAP-0021,Mahogany,Low,Medium Density Residential Zone
SAP-0022,Molave,Low,Forest Zone
SAP-0023,Narra,Low,Medium Density Residential Zone
SAP-0024,Banaba,Medium,Forest Zone
SAP-0025,Ilang-Ilang,High,Forest Zone
SAP-0026,Molave,High,Parks and Recreation Zone
SAP-0027,Narra,High,Forest Zone
SAP-0028,Molave,High,Forest Zone
SAP-0029,Ilang-Ilang,High,Forest Zone
SAP-0030,Ilang-Ilang,Low,Medium Density Residential Zone
SAP-0031,Mahogany,Medium,Parks and Recreation Zone
SAP-0032,Mahogany,High,Parks and Recreation Zone
SAP-0033,Molave,Medium,Buffer Zone
SAP-0034,Mahogany,High,Forest Zone
SAP-0035,Narra,High,Medium Density Residential Zone
SAP-0036,Mahogany,High,Buffer Zone
SAP-0037,Narra,High,Buffer Zone
SAP-0038,Banaba,Medium,Parks and Recreation Zone
SAP-0039,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0040,Mahogany,Low,Parks and Recreation Zone
SAP-0041,Narra,Low,Medium Density Residential Zone
SAP-0042,Banaba,High,Medium Density Residential Zone
SAP-0043,Banaba,Low,Parks and Recreation Zone
SAP-0044,Banaba,Medium,Parks and Recreation Zone
SAP-0045,Molave,Medium,Medium Density Residential Zone
SAP-0046,Mahogany,Medium,Medium Density Residential Zone
SAP-0047,Banaba,Low,Buffer Zone
SAP-0048,Banaba,High,Buffer Zone
SAP-0049,Narra,Medium,Forest Zone
SAP-0050,Molave,High,Forest Zone
SAP-0051,Mahogany,High,Forest Zone
SAP-0052,Narra,High,Parks and Recreation Zone
SAP-0053,Banaba,Medium,Parks and Recreation Zone
SAP-0054,Banaba,Low,Buffer Zone
SAP-0055,Narra,Medium,Parks and Recreation Zone
SAP-0056,Banaba,Low,Forest Zone
SAP-0057,Molave,High,Buffer Zone
SAP-0058,Molave,High,Forest Zone
SAP-0059,Ilang-Ilang,Medium,Parks and Recreation Zone
SAP-0060,Ilang-Ilang,Low,Parks and Recreation Zone
SAP-0061,Banaba,High,Medium Density Residential Zone
SAP-0062,Mahogany,Low,Medium Density Residential Zone
SAP-0063,Ilang-Ilang,Medium,Parks and Recreation Zone
